community	parCol	i	j	Niche_i	Niche_j	pctGrass_i	pctGrass_j	BM_i	BM_j	Rmax_i	Rmax_j	d13Cmean_i	d13Cmean_j	d13Csd_i	d13Csd_j	d15Nmean_i	d15Nmean_j	d15Nsd_i	d15Nsd_j	SEAi_mean	SEAj_mean	SEA_p_ilarger	SEA_p_jlarger	isunique	O	Oij	rho	Olap
Kruger_NB_2004_10	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-18.319	-15.546	1.3763	0.3361	6.478	4.436	0.8673	0.6352	3.3196	0.6942	0.9998	0.0002	1	0.0663	0.076	0.1606	0.249633971900122
Kruger_NB_2004_10	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-18.319	-14.464	1.3763	0.3838	6.478	4.521	0.8673	0.3901	3.3196	0.4235	1	0	1	0.0176	0.0186	0.0563	0.064764070419012
Kruger_NB_2004_10	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-18.319	-26.185	1.3763	0.2786	6.478	5.408	0.8673	3.4681	3.3196	3.3277	0.4928	0.5073	1	0.0002	0.0005	0.0005	0.001626854091242
Kruger_NB_2004_10	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-18.319	-15.528	1.3763	0.4306	6.478	5.341	0.8673	1.6951	3.3196	2.1129	0.846	0.154	1	0.0936	0.1391	0.1747	0.465154361655512
Kruger_NB_2004_10	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-15.546	-14.464	0.3361	0.3838	4.436	4.521	0.6352	0.3901	0.6942	0.4235	0.8615	0.1385	1	0.1332	0.1796	0.2306	0.131421830481524
Kruger_NB_2004_10	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-15.546	-26.185	0.3361	0.2786	4.436	5.408	0.6352	3.4681	0.6942	3.3277	0.0003	0.9998	1	0	0	0	0
Kruger_NB_2004_10	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-15.546	-15.528	0.3361	0.4306	4.436	5.341	0.6352	1.6951	0.6942	2.1129	0.0065	0.9935	1	0.2674	0.7937	0.4708	0.59221742884926
Kruger_NB_2004_10	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-14.464	-26.185	0.3838	0.2786	4.521	5.408	0.3901	3.4681	0.4235	3.3277	0	1	1	0	0	0	0
Kruger_NB_2004_10	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-14.464	-15.528	0.3838	0.4306	4.521	5.341	0.3901	1.6951	0.4235	2.1129	0.0003	0.9998	1	0.0601	0.32	0.1438	0.143821774497072
Kruger_NB_2004_10	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-26.185	-15.528	0.2786	0.4306	5.408	5.341	3.4681	1.6951	3.3277	2.1129	0.8438	0.1563	1	0	0	0	0
Kruger_NB_2004_11	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-16.521	-14.942	0.7147	0.9708	8.057	6.448	1.663	1.5696	3.8957	4.7074	0.3403	0.6598	1	0.2665	0.5216	0.4304	1.81020273019254
Kruger_NB_2004_11	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-16.521	-13.807	0.7147	0.3131	8.057	3.658	1.663	0.5395	3.8957	0.544	1	0	1	0	0	0.0001	0.000103541086435
Kruger_NB_2004_11	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-16.521	-26.0563	0.7147	0.3507	8.057	4.025	1.663	1.7815	3.8957	2.1007	0.896	0.104	1	0	0	0	0
Kruger_NB_2004_11	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-16.521	-15.691	0.7147	0.3499	8.057	3.554	1.663	0.7774	3.8957	0.8457	0.999	0.001	1	0.0342	0.0408	0.083	0.156891522320093
Kruger_NB_2004_11	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-14.942	-13.807	0.9708	0.3131	6.448	3.658	1.5696	0.5395	4.7074	0.544	1	0	1	0.0819	0.085	0.2455	0.39741113151014
Kruger_NB_2004_11	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-14.942	-26.0563	0.9708	0.3507	6.448	4.025	1.5696	1.7815	4.7074	2.1007	0.9523	0.0478	1	0	0	0	0
